Date	Site	Keyword	Market	Location	Device	Google	Google Base Rank	Yahoo	Bing	Google URL	Yahoo URL	Bing URL	Advertiser Competition	Global Monthly Searches	Regional Monthly Searches	CPC	Tags
2016-02-01	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	daily rank tracking software	GB-en		desktop	54	54	38	38	getstat.com/take-the-tour/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-02	STAT	daily rank tracking software	GB-en		desktop	40	40	42	42	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-03	STAT	daily rank tracking software	GB-en		desktop	40	40	40	40	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-04	STAT	daily rank tracking software	GB-en		desktop	40	40			getstat.com/our-clients/retailers-marketplaces/			0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-05	STAT	daily rank tracking software	GB-en		desktop	41	41	39	39	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-06	STAT	daily rank tracking software	GB-en		desktop	43	43	39	39	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-07	STAT	daily rank tracking software	GB-en		desktop	41	41	48	48	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-08	STAT	daily rank tracking software	GB-en		desktop	52	52	41	41	getstat.com/take-the-tour/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-09	STAT	daily rank tracking software	GB-en		desktop	57	57	41	41	getstat.com/take-the-tour/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-10	STAT	daily rank tracking software	GB-en		desktop	42	42	41	41	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-11	STAT	daily rank tracking software	GB-en		desktop	39	39	38	38	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-12	STAT	daily rank tracking software	GB-en		desktop	39	39	38	38	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-13	STAT	daily rank tracking software	GB-en		desktop	44	44	38	38	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-14	STAT	daily rank tracking software	GB-en		desktop	42	42	33	33	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
2016-02-15	STAT	daily rank tracking software	GB-en		desktop	41	41	20	20	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	getstat.com/our-clients/retailers-marketplaces/	0	50	10	0.00	desktop keywords / desktop, gb-en / getstat / google webmaster tools / take the tour
